tiempo(s),Numero_joints,G-parcial(N)
4.155,7.000,604.470
4.165,7.000,653.907
4.176,7.000,657.207
4.187,7.000,615.826
4.198,7.000,755.628
4.209,7.000,761.875
4.220,7.000,813.199
4.231,7.000,868.125
4.241,7.000,778.863
4.252,7.000,778.769
4.263,7.000,742.831
4.274,7.000,861.536
4.284,7.000,771.954
4.295,7.000,774.302
4.306,7.000,851.050
4.317,7.000,775.817
4.328,7.000,777.072
4.338,7.000,777.408
4.349,7.000,825.902
4.360,7.000,775.920
4.371,7.000,776.092
4.382,7.000,778.109
4.392,7.000,830.100
4.403,7.000,777.739
4.414,7.000,777.946
4.425,7.000,754.197
4.436,7.000,757.126
4.447,7.000,763.889
4.457,7.000,778.925
4.468,7.000,781.899
4.479,7.000,750.416
4.490,7.000,718.023
4.501,7.000,711.698
4.512,7.000,634.433
4.522,7.000,730.085
4.533,7.000,721.725
4.544,7.000,720.707
4.555,7.000,724.169
4.566,7.000,869.174
4.577,7.000,696.924
4.588,7.000,684.496
4.599,7.000,686.858
4.610,7.000,642.249
4.620,7.000,731.344
4.631,7.000,714.590
4.642,7.000,712.332
4.653,7.000,710.864
4.664,7.000,755.022
4.675,7.000,715.045
4.685,7.000,709.911
4.696,7.000,708.970
4.707,7.000,708.600
4.718,7.000,636.381
4.729,7.000,718.020
4.740,7.000,710.440
4.750,7.000,709.552
4.761,7.000,710.202
4.772,7.000,717.388
4.783,7.000,840.730
4.794,7.000,688.959
4.805,7.000,688.958
4.816,7.000,686.256
4.826,7.000,688.107
4.837,7.000,634.756
4.848,7.000,716.840
4.859,7.000,709.947
4.870,7.000,709.482
4.881,7.000,717.339
4.892,7.000,722.757
4.902,7.000,743.116
4.913,7.000,715.357
4.924,7.000,712.356
4.935,7.000,711.871
4.946,7.000,711.928
4.956,7.000,712.064
4.967,7.000,712.224
4.978,7.000,771.350
4.989,7.000,706.121
4.999,7.000,706.250
5.010,7.000,1071.128
5.021,7.000,980.881
5.032,7.000,1027.132
5.043,7.000,1026.515
5.054,7.000,1025.655
5.065,7.000,1024.944
5.076,7.000,1023.124
5.087,7.000,1022.594
5.098,7.000,1021.774
5.109,7.000,1020.873
5.120,7.000,1019.936
5.130,7.000,1018.979
5.141,7.000,1018.141
5.152,7.000,1017.056
5.163,7.000,1015.835
5.174,7.000,1014.955
5.185,7.000,939.861
5.195,7.000,886.934
5.206,7.000,885.953
5.217,7.000,885.198
5.228,7.000,884.290
5.239,7.000,872.749
5.250,7.000,880.826
5.261,7.000,878.826
5.272,7.000,878.438
5.283,7.000,877.451
5.294,7.000,876.064
5.305,7.000,876.163
5.316,7.000,877.783
5.327,7.000,873.401
5.338,7.000,869.532
5.349,7.000,867.723
5.360,7.000,865.920
5.371,7.000,864.059
5.382,7.000,862.157
5.393,7.000,860.132
5.404,7.000,857.511
5.415,7.000,855.647
5.425,7.000,853.082
5.436,7.000,850.522
5.447,7.000,849.125
5.458,7.000,854.306
5.469,7.000,837.065
5.480,7.000,841.373
5.491,7.000,841.214
5.502,7.000,783.873
5.513,7.000,765.612
5.524,7.000,761.776
5.535,7.000,754.669
5.546,7.000,751.333
5.557,7.000,747.015
5.567,7.000,743.073
5.578,7.000,739.187
5.589,7.000,733.094
5.600,7.000,733.375
5.611,7.000,732.118
5.622,7.000,726.913
5.633,7.000,727.183
5.644,7.000,724.844
5.655,7.000,721.957
5.666,7.000,720.892
5.677,7.000,719.578
5.688,7.000,718.194
5.699,7.000,716.970
5.710,7.000,715.699
5.721,7.000,714.041
5.732,7.000,709.256
5.743,7.000,702.421
5.754,7.000,700.120
5.765,7.000,695.546
5.775,7.000,697.455
5.786,7.000,695.861
5.797,7.000,695.138
5.808,7.000,696.325
5.819,7.000,697.508
5.830,7.000,698.847
5.841,7.000,863.794
5.852,7.000,863.001
5.863,7.000,864.146
5.874,7.000,861.574
5.885,7.000,811.873
5.896,7.000,797.920
5.907,7.000,786.560
5.918,7.000,777.041
5.928,7.000,762.802
5.939,7.000,762.310
5.950,7.000,756.671
5.961,7.000,751.831
5.972,7.000,747.769
5.983,7.000,744.251
5.994,7.000,741.197
6.005,7.000,738.528
6.016,7.000,736.179
6.027,7.000,734.092
6.038,7.000,732.194
6.049,7.000,733.600
6.060,7.000,730.267
6.071,7.000,729.930
6.082,7.000,728.933
6.092,7.000,725.593
6.103,7.000,723.838
6.114,7.000,723.899
6.125,7.000,722.007
6.136,7.000,721.268
6.147,7.000,720.388
6.158,7.000,718.453
6.169,7.000,717.446
6.180,7.000,717.878
6.191,7.000,714.075
6.202,7.000,715.187
6.213,7.000,715.073
6.224,7.000,714.053
6.235,7.000,712.788
6.246,7.000,712.410
6.257,7.000,711.311
6.268,7.000,711.898
6.279,7.000,710.887
6.290,7.000,709.285
6.301,7.000,709.546
6.312,7.000,706.367
6.323,7.000,708.158
6.334,7.000,708.493
6.345,7.000,706.958
6.356,7.000,707.771
6.367,7.000,706.821
6.378,7.000,704.016
6.389,7.000,705.479
6.401,7.000,704.280
6.412,7.000,703.900
6.423,7.000,703.199
6.434,7.000,702.667
6.445,7.000,701.975
6.455,7.000,701.630
6.466,7.000,701.137
6.477,7.000,700.616
6.488,7.000,700.104
6.499,7.000,699.952
6.510,7.000,700.183
6.521,7.000,701.982
6.532,7.000,1098.198
6.543,7.000,931.873
6.554,7.000,867.609
6.565,7.000,886.248
6.576,7.000,896.219
6.587,7.000,907.204
6.598,7.000,918.004
6.609,7.000,935.373
6.620,7.000,732.302
6.631,7.000,728.829
6.641,7.000,763.434
6.652,7.000,745.905
6.663,7.000,744.653
6.674,7.000,735.655
6.685,7.000,797.590
6.696,7.000,799.227
6.707,7.000,805.248
6.718,7.000,810.669
6.729,7.000,815.017
6.740,7.000,818.774
6.751,7.000,821.893
6.762,7.000,824.602
6.773,7.000,730.362
6.784,7.000,723.495
6.795,7.000,724.050
6.805,7.000,732.285
6.816,7.000,728.517
6.827,7.000,725.257
6.838,7.000,723.025
6.849,7.000,723.542
6.860,7.000,722.477
6.871,7.000,723.115
6.882,7.000,719.425
6.893,7.000,712.054
6.904,7.000,715.204
6.915,7.000,713.935
6.926,7.000,712.506
6.936,7.000,728.467
6.947,7.000,709.284
6.958,7.000,709.360
6.969,7.000,708.722
6.980,7.000,706.382
6.991,7.000,704.347
7.002,7.000,702.763
7.013,7.000,701.384
7.023,7.000,700.093
7.034,7.000,698.812
7.045,7.000,697.563
7.056,7.000,696.349
7.067,7.000,695.158
7.079,7.000,693.976
7.090,7.000,692.823
7.101,7.000,691.672
7.112,7.000,690.533
7.123,7.000,689.403
7.134,7.000,688.339
7.145,7.000,687.300
7.156,7.000,686.266
7.167,7.000,685.343
7.178,7.000,684.560
7.189,7.000,683.779
7.200,7.000,683.111
7.211,7.000,682.381
7.222,7.000,681.601
7.233,7.000,680.980
7.244,7.000,680.270
7.255,7.000,679.601
7.266,7.000,678.925
7.277,7.000,678.266
7.288,7.000,677.603
7.299,7.000,676.925
7.310,7.000,676.207
7.321,7.000,697.430
7.332,7.000,771.639
7.343,7.000,792.153
7.354,7.000,779.126
7.364,7.000,757.208
7.375,7.000,738.061
7.386,7.000,728.491
7.397,7.000,721.364
7.408,7.000,715.018
7.419,7.000,710.416
